COUNTY	GLOBAL_ID	FIELD_PT_NAME	LOGDATE	LOGTIME	LOGCODE	SAMPID	MATRIX	LABWO 	LABCODE	LABSAMPID	ANMCODE	LABLOTCTL	ANADATE	BASIS	PARLABEL	PARVAL	PARVQ	LABDL	REPDL	UNITS	DILFAC	LNOTE
Alpine	T0600300005	MW-10	2003-10-21	1200	GECR	MW-10	W	NA	KIFF	35471-04	SW8260B	V439490	2003-10-25	N	BZME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2004-11-05	1200	GECR	MW-10	W	NA	KIFF	40918-05	SW8260B	V822729	2004-11-13	N	ETBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2005-04-01	1200	GECR	MW-10	W	NA	KIFF	43100-08	SW8260B	VM22698	2005-04-05	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2005-06-14	1200	GECR	MW-10	W	NA	KIFF	44341-08	SW8260B	VJ31240	2005-06-18	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2005-09-21	1200	GECR	MW-10	W	NA	KIFF	46105-06	SW8260B	VJ33546	2005-09-28	N	BZME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2005-09-21	1200	GECR	MW-10	W	NA	KIFF	46105-06	SW8260B	VJ33546	2005-09-28	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2005-09-21	1200	GECR	MW-10	W	NA	KIFF	46105-06	SW8260B	VJ33546	2005-09-28	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2005-09-21	1200	GECR	MW-10	W	NA	KIFF	46105-06	SW8260B	VJ33546	2005-09-28	N	TBA	0	ND	5	5	UG/L	1	
Alpine	T0600300005	MW-10	2005-11-18	1200	GECR	MW-10	W	NA	KIFF	47013-08	SW8260B	V627433	2005-11-22	N	MTBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2005-11-18	1200	GECR	MW-10	W	NA	KIFF	47013-08	SW8260B	V627433	2005-11-22	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2005-11-18	1200	GECR	MW-10	W	NA	KIFF	47013-08	SW8260B	V627433	2005-11-22	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2006-09-26	1200	GECR	MW-10	W	NA	KIFF	52437-07	SW8260B	V838832	2006-09-30	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2006-11-21	1200	GECR	MW-10	W	NA	KIFF	53493-09	SW8260B	V463373	2006-11-28	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2006-11-21	1200	GECR	MW-10	W	NA	KIFF	53493-09	SW8260B	V463373	2006-11-28	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2007-03-29	1200	GECR	MW-10	W	NA	KIFF	55709-07	SW8260B	V466699	2007-04-03	N	BZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2007-09-14	1200	GECR	MW-10	W	NA	KIFF	58539-05	SW8260B	V940516	2007-09-19	N	TBA	0	ND	5	5	UG/L	1	
Alpine	T0600300005	MW-10	2006-06-13	1200	GECR	MW-10	W	NA	KIFF	50553-09	SW8260B	V836705	2006-06-16	N	TBA	0	ND	5	5	UG/L	1	
Alpine	T0600300005	MW-10	2007-09-14	1200	GECR	MW-10	W	NA	KIFF	58539-05	SW8260B	V940516	2007-09-19	N	MTBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2007-09-14	1200	GECR	MW-10	W	NA	KIFF	58539-05	SW8260B	V940516	2007-09-19	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2008-02-27	1200	GECR	MW-10	W	NA	KIFF	61314-08	SW8260B	V022908W15	2008-03-01	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2008-02-27	1200	GECR	MW-10	W	NA	KIFF	61314-08	SW8260B	V022908W15	2008-03-01	N	PHCG	0	ND	50	50	UG/L	1	
Alpine	T0600300005	MW-10	2008-12-31	1040	CLSR	MW-10	W	CSA0056	CLSR	CSA005606	SW8021F	CS00064	2009-01-07	N	BZME	0	ND	.03	.5	UG/L	1	
Alpine	T0600300005	MW-10	2008-12-31	1040	CLSR	MW-10	W	CSA0056	CLSR	CSA005606	SW8260B	CS00043	2009-01-05	N	TBA	0	ND	2.2	5	UG/L	1	
Alpine	T0600300005	MW-10	2011-12-29	1210	CLSR	MW-10	W	CUL1079	CLSR	CUL107905	M8015	CV00020	2012-01-03	N	MOIL	0	ND	9.1	50	UG/L	1	DU
Alpine	T0600300005	MW-10	2008-05-14	1320	CLSR	MW-10	W	CRE0582	CLSR	CRE058206	SW8021F	CR04069	2008-05-20	N	BZME	0	ND	.03	.5	UG/L	1	
Alpine	T0600300005	MW-10	2008-05-14	1320	CLSR	MW-10	W	CRE0582	CLSR	CRE058206	SW8260B	CR04257	2008-05-27	N	MTBE	0	ND	.095	.5	UG/L	1	
Alpine	T0600300005	MW-10	2009-06-24	0930	CLSR	MW-10	W	CSF1019	CLSR	CSF101909	SW8021F	CS04725	2009-06-25	N	GASOLINE	0	ND	10	50	UG/L	1	
Alpine	T0600300005	MW-10	2009-06-24	0930	CLSR	MW-10	W	CSF1019	CLSR	CSF101909	SW8260B	CS04720	2009-06-25	N	TBA	0	ND	2.2	5	UG/L	1	
Alpine	T0600300005	MW-10	2010-07-16	1040	CLSR	MW-10	W	CTG0669	CLSR	CTG066908	SW8260B	CT05219	2010-07-20	N	BZME	0	ND	.11	.5	UG/L	1	
Alpine	T0600300005	MW-11	2006-11-21	1200	GECR	MW-11	W	NA	KIFF	53493-08	CATPH-D	S112206W14	2006-11-29	N	PHCLUB	290	=	100	100	UG/L	1	
Alpine	T0600300005	MW-11	2002-04-16	1111	KFR	MW-11	WX	NA	ALPS	041625-09	SW8260B	MS1W0418A	2002-04-18	N	TBA	0	ND	2.5	5	UG/L	1	
Alpine	T0600300005	MW-11	2003-10-21	1200	GECR	MW-11	W	NA	KIFF	35471-05	SW8260B	V439465	2003-10-24	N	ETBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2004-07-20	1200	GECR	MW-11	W	NA	KIFF	39288-05	SW8260B	V072204W10	2004-07-23	N	BZME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2003-10-21	1200	GECR	MW-11	W	NA	KIFF	35471-05	SW8260B	V439465	2003-10-24	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2004-07-20	1200	GECR	MW-11	W	NA	KIFF	39288-05	SW8260B	V072204W10	2004-07-23	N	TAME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2004-07-20	1200	GECR	MW-11	W	NA	KIFF	39288-05	CATPH-D	S072204W03	2004-07-23	N	PHCLUB	0	ND	100	100	UG/L	1	
Alpine	T0600300005	MW-11	2004-11-05	1200	GECR	MW-11	W	NA	KIFF	40918-04	SW8260B	V822729	2004-11-13	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2004-11-05	1200	GECR	MW-11	W	NA	KIFF	40918-04	SW8260B	V822729	2004-11-13	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2005-06-14	1200	GECR	MW-11	W	NA	KIFF	44341-07	SW8260B	VM24622	2005-06-18	N	BZME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2005-09-21	1200	GECR	MW-11	W	NA	KIFF	46105-05	SW8260B	VJ33546	2005-09-28	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2005-06-14	1200	GECR	MW-11	W	NA	KIFF	44341-07	SW8260B	VM24622	2005-06-18	N	ETBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2005-11-18	1200	GECR	MW-11	W	NA	KIFF	47013-07	CATPH-D	S112105W09	2005-11-30	N	PHCD	0	ND	50	50	UG/L	1	
Alpine	T0600300005	MW-11	2005-11-18	1200	GECR	MW-11	W	NA	KIFF	47013-07	SW8260B	V627433	2005-11-22	N	BZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2005-11-18	1200	GECR	MW-11	W	NA	KIFF	47013-07	SW8260B	V627433	2005-11-22	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2006-06-13	1200	GECR	MW-11	W	NA	KIFF	50553-08	SW8260B	V927724	2006-06-16	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2006-06-13	1200	GECR	MW-11	W	NA	KIFF	50553-08	CATPH-D	S061606W05	2006-06-20	N	PHCD	0	ND	50	50	UG/L	1	
Alpine	T0600300005	MW-11	2007-03-29	1200	GECR	MW-11	W	NA	KIFF	55709-08	SW8260B	V466699	2007-04-03	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2007-03-29	1200	GECR	MW-11	W	NA	KIFF	55709-08	SW8260B	V466699	2007-04-03	N	MTBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2007-03-29	1200	GECR	MW-11	W	NA	KIFF	55709-08	SW8260B	V466699	2007-04-03	N	TBA	0	ND	5	5	UG/L	1	
Alpine	T0600300005	MW-11	2007-06-19	1200	GECR	MW-11	W	NA	KIFF	57083-05	SW8260B	V845834	2007-06-22	N	PHCG	0	ND	50	50	UG/L	1	
Alpine	T0600300005	MW-11	2007-06-19	1200	GECR	MW-11	W	NA	KIFF	57083-05	SW8260B	V845834	2007-06-22	N	MTBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2007-09-14	1200	GECR	MW-11	W	NA	KIFF	58539-04	SW8260B	V470941	2007-09-18	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2008-02-27	1200	GECR	MW-11	W	NA	KIFF	61314-07	SW8260B	V022908W15	2008-03-01	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-11	2008-02-27	1200	GECR	MW-11	W	NA	KIFF	61314-07	SW8260B	V022908W15	2008-03-01	N	TAME	0	ND	.5	.5	UG/L	1	
